year,name,underwriter,listing_date,market,code,price_range,price_final,price_before1,price_before2,grade,grade_votes,reader_forecast,reader_forecast_n,stance_bars,hatsune_bars,hatsune,vote_status,detail_url
2011,ダブル・スコープ,日興,12/16(金),東M,6619,"2,500-2,800","2,500","2,500","2,500",C,4,"2,900",3,"0,0,0,66.7,33.3","0,0,0,100,0","2,300",締切,https://kabu.96ut.com/article/ipo/2011033/
2011,日興アセットマネジメント,日興,12/15(木),東未,7156,,未,未,-,,,"1,067",3,"0,33.3,33.3,0,33.3","0,33.3,0,66.7,0",-,締切,https://kabu.96ut.com/article/ipo/2011038/
2011,ネクソン,野村,12/14(水),東1,3659,"1,200-1,400","1,300","1,500","1,500",B,6,"1,503",12,"0,27.3,54.5,0,18.2","0,0,16.7,83.3,0","1,307",締切,https://kabu.96ut.com/article/ipo/2011032/
2011,サンセイランディック,野村,12/13(火),JQS,3277,500-600,500,600,500,C,5,495,6,"0,0,0,0,100","0,0,0,50,50",470,締切,https://kabu.96ut.com/article/ipo/2011031/
2011,リブセンス,大和,12/07(水),東M,6054,900-990,990,"2,000","2,000",A,9,"1,866",10,"40,40,20,0,0","50,40,10,0,0","1,800",締切,https://kabu.96ut.com/article/ipo/2011030/
2011,ベルグアース,野村,11/29(火),JQS,1383,740-940,740,950,750,C,5,993,7,"0,0,28.6,57.1,14.3","0,0,0,100,0",780,締切,https://kabu.96ut.com/article/ipo/2011029/
2011,菊池製作所,野村,10/28(金),JQS,3444,"1,050-1,100","1,100","1,300","1,150",B,6,"1,118",6,"0,16.7,0,50,33.3","0,0,16.7,83.3,0","1,150",締切,https://kabu.96ut.com/article/ipo/2011028/
2011,イーブックイニシアティブジャパン,大和,10/28(金),東M,3658,700-760,760,"2,250","2,000",A,9,"1,876",7,"42.9,14.3,42.8,0,0","85.7,14.3,0,0,0","1,700",締切,https://kabu.96ut.com/article/ipo/2011027/
2011,ポールトゥウィン・ピットクルーホールディングス,大和,10/26(水),東M,3657,"2,000-2,250","2,250","3,500","3,500",A,8,"3,519",8,"12.5,62.5,25,0,0","12.5,37.5,50,0,0","2,730",締切,https://kabu.96ut.com/article/ipo/2011026/
2011,スリー・ディー・マトリックス,日興,10/24(月),JQG,7777,"1,900-2,100","2,100","1,500","1,800",D,2,"1,633",3,"0,0,0,0,100","0,0,0,33.3,66.7","1,200",締切,https://kabu.96ut.com/article/ipo/2011025/
2011,日本管理センター,SMBC,10/21(金),JQS,3276,"1,400-1,600","1,600","1,700","1,650",C,5,"1,675",4,"0,0,0,100,0","0,0,0,100,0","1,600",締切,https://kabu.96ut.com/article/ipo/2011024/
2011,シンバイオ製薬,三菱,10/20(木),JQG,4582,460-560,560,450,500,D,3,477,3,"0,0,0,0,100","0,0,0,66.7,33.3",450,締切,https://kabu.96ut.com/article/ipo/2011023/
2011,ＫＬａｂ,大和,09/27(火),東M,3656,"1,540-1,700","1,700","2,800","3,100",A,8,"2,583",6,"20,20,60,0,0","16.7,33.3,50,0,0","3,970",締切,https://kabu.96ut.com/article/ipo/2011022/
2011,ブレインパッド,野村,09/22(木),東M,3655,"2,100-2,200","2,200","4,400","4,400",A,9,"4,767",3,"100,0,0,0,0","100,0,0,0,0","6,350",締切,https://kabu.96ut.com/article/ipo/2011021/
2011,イーピーミント,みずほ,09/16(金),JQS,6052,"1,400-1,500","1,500","1,800","1,800",B,7,"2,000",4,"0,25,50,25,0","0,25,25,50,0","1,700",締切,https://kabu.96ut.com/article/ipo/2011020/
2011,ヒト・コミュニケーションズ,野村,08/12(金),JQS,3654,"2,600-2,700","2,700","3,500","2,650",B,7,"3,333",6,"0,20,40,20,20","0,33.3,33.3,33.3,0","2,780",締切,https://kabu.96ut.com/article/ipo/2011019/
